,JAN,FÉV,MAR,AVR,MAI,JUN,JUI,AOÛ,SEP,OCT,NOV,DÉC,Total
2020,353.15,267.4,284.2,132.64,83.7,40.26,0.0,0.0,0.0,0.0,0.0,0.0,1161.18
2019,433.98,293.52,264.23,207.9,149.24,36.37,5.26,9.29,41.97,115.0,294.83,324.75,2176.13
2018,316.38,423.58,321.9,145.93,87.51,18.29,2.44,10.37,38.1,139.47,270.65,336.34,2110.72
2017,483.25,288.33,234.5,218.03,92.85,18.59,9.12,16.26,79.72,121.32,310.53,395.05,2267.21
2016,357.85,325.94,330.82,226.0,118.73,37.8,14.14,10.66,26.93,185.46,288.59,396.4,2319.06
2015,402.7,383.99,293.56,177.74,104.25,26.54,11.23,12.43,83.05,185.63,220.71,276.71,2178.31
2014,335.43,297.15,269.32,167.18,126.67,29.52,14.98,31.36,34.16,93.8,218.53,380.16,1997.94
2013,422.45,405.79,347.49,226.84,182.27,59.41,5.63,12.76,52.15,109.2,315.11,372.64,2511.67
2012,367.31,470.91,241.33,233.61,101.45,40.24,23.68,7.9,65.57,148.63,277.46,357.05,2334.92
2011,400.93,309.39,269.46,118.77,68.53,44.66,30.98,18.77,31.26,133.57,216.99,321.73,1964.82
2010,478.65,365.23,312.68,186.36,150.87,39.24,5.27,22.01,72.66,181.31,298.79,472.72,2585.65
2009,455.61,355.97,299.9,176.61,81.29,37.23,11.59,7.5,40.73,154.52,220.14,390.56,2231.43
